formula,processing,structure_type,test_temp_C,Al_at_pct,Co_at_pct,Cr_at_pct,Cu_at_pct,Fe_at_pct,Mn_at_pct,Ni_at_pct,Ti_at_pct,V_at_pct,Zr_at_pct,Nb_at_pct,Mo_at_pct,W_at_pct,Hf_at_pct,Ta_at_pct,Si_at_pct,hardness_HV,density_calc,grain_size_um,yield_strength_MPa,uts_MPa,elongation_pct,young_modulus_calc_GPa
Al0.429 Ca0.286 Li1 Mg1 Si0.143,CAST,other,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,,1.4,,418.0,,13.0,
Al0.312 Ca0.021 Li0.792 Mg1 Si0.021,CAST,other,25.0,93.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31,,1.4,,360.0,,9.0,
Al0.333 Ca0.011 Li0.844 Mg1 Si0.033,CAST,other,25.0,90.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.02,,1.4,,342.0,,44.0,
Al0.333 Ca0.011 Li0.867 Mg1 Si0.011,CAST,other,25.0,96.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,,1.4,,300.0,,63.0,
Co1 Cr1 Fe1 Mn0.2 Ni1 Pd1,CAST,other,25.0,0.0,23.81,23.81,0.0,23.81,4.76,23.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,9.1,,650.0,,50.0,
Co1 Cr1 Fe1 Mn0.4 Ni1 Pd1,CAST,other,25.0,0.0,22.73,22.73,0.0,22.73,9.09,22.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,9.1,,650.0,,46.0,
Co1 Cr1 Fe1 Mn0.6 Ni1 Pd1,CAST,other,25.0,0.0,21.74,21.74,0.0,21.74,13.04,21.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,9.0,,650.0,,42.0,
Co1 Cr1 Fe1 Mn0.8 Ni1 Pd1,CAST,other,25.0,0.0,20.83,20.83,0.0,20.83,16.67,20.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,8.9,,650.0,,35.0,
Cr1 Fe1 Ni1 Ti0.2,CAST,other,25.0,0.0,0.0,31.25,0.0,31.25,0.0,31.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.2,7.6,,2297.94,,5.8,
Cr1 Fe1 Ni1 Ti0.3,CAST,other,25.0,0.0,0.0,30.3,0.0,30.3,0.0,30.3,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.3,7.5,,2364.63,,,
Cr1 Fe1 Ni1 Ti0.4,CAST,BCC,25.0,0.0,0.0,29.41,0.0,29.41,0.0,29.41,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.3,7.4,,2475.41,,6.5,212.0
Cr1 Fe1 Ni1 Ti0.5,CAST,BCC,25.0,0.0,0.0,28.57,0.0,28.57,0.0,28.57,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.6,7.3,,2380.79,,,208.0
Cr1 Fe1 Ni1 Ti0.6,CAST,BCC,25.0,0.0,0.0,27.78,0.0,27.78,0.0,27.78,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.2,7.2,,1923.15,,,204.0
Al1 Cr1 Cu1 Fe1 Mn1,POWDER,other,25.0,20.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0,6.5,,1010.0,,,
Al1 Cr1 Cu1 Fe1 Mn1 W0.05,POWDER,other,25.0,19.8,0.0,19.8,19.8,19.8,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,680.0,6.7,,1120.0,,,
Al1 Cr1 Cu1 Fe1 Mn1 W0.1,POWDER,other,25.0,19.61,0.0,19.61,19.61,19.61,19.61,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,705.0,6.8,,1250.0,,,
